T1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Szenario;Web(Patrick);VR(Kevin);Web(Patrick);VR(Kevin);VR(Patrick);Web(Kevin);VR(Patrick);Web(Kevin);VR(Kevin);Web(Patrick);VR(Patrick);Web(Kevin);VR(Patrick);Web(Kevin);VR(Kevin);Web(Patrick);VR(Patrick);Web(Kevin);VR(Patrick);Web(Kevin);VR(Kevin);Web(Patrick);VR(Patrick);Web(Kevin);VR(Kevin);Web(Patrick);VR(Kevin);;VR(Patrick);Web(Kevin);VR(Kevin);Web(Patrick)
Player-Id;141.2.108.221;52327024-d1c1bfc5;141.2.108.251;035c8d99-c2af3e1e;9a98c318-840ffda8 | 141.2.134.119;;e87c3e48-3c1fb84f | 141.2.134.108;;a60b42e3-ffa4dd16;141.2.108.220;9a5eff33-805cf7f4|141.2.134.117;;ecd2f065-47d62712|141.2.308.221;;d8ab498c-ff227050;;93326570-df1d9a8f | 141.2.134.107;;3bef0a86-e6270701 | 131.2.134.108;;a84e6395-621eb83a;;4886f2f4-170c1668 | 141.2.134.114 (1);;df7b33b2-3649b921;141.2.108.251 (1);df7b33b2-3649b921;;;;;
Age;21-13;;21-13;;27-29;;>=30;;27-29;;21-23;;>=30;;>=30;;21-23;;24-26;;24-26;;24-26;;24-26;;>=30;;24-26;;24-26;
Gender;male;;male;;male;;male;;male;;male;;male;;male;;male;;male;;male;;male;;female;;male;;female;;male;
Dominant Hand;right;;right;;right;;left;;right;;right;;right;;right;;right;;right;;right;;right;;right;;right;;right;;right;
Language;german;;german;;german;;german, turkish;;german;;german;;german;;german;;english;;german;;german;;german;;German, Russian;;German;;German;;German;
T2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
VR Experience;1;;1;;;;4;;4;;1;;3;;2;;3;;2;;2;;1;;1;;4;;1;;1;
T3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Navigation;4;4;;4;;2;4;4;3;4;4;4;2;4;1;4;3;3;4;4;2;4;3;5;2;3;3;;4;5;4;2
Information;4;3;;2;;1;4;3;2;3;4;3;1;1;1;4;2;4;3;4;1;4;4;1;2;4;1;;3;3;2;2
Immersive;4;4;;4;;1;4;4;4;1;5;1;5;1;1;3;4;1;4;2;4;1;5;3;4;1;4;;5;1;5;1
Engaging;4;4;;4;;2;3;3;3;3;5;1;4;2;1;2;5;1;4;2;2;2;5;3;4;3;5;;4;2;5;1
Fun;4;4;;3;;1;3;3;3;3;5;1;2;2;1;3;5;1;5;3;2;1;3;3;4;3;4;;4;1;5;2
Exploration;4;5;;4;;4;2;4;4;4;4;4;3;4;1;5;5;1;5;4;4;2;3;2;4;2;4;;4;4;4;4
Diversity;5;2;;3;;1;3;4;4;3;2;1;3;5;1;4;3;4;4;4;2;4;4;4;3;2;4;;2;3;5;1
Would use the interface again;only if;only if;;no;;no;yes;only if;only if;only if;yes;no;only if;yes;no;only if;only if;yes;yes;yes;no;only if;only if;yes;yes;yes;only if;;yes;no;only if;no
